100004 100020
1 40397 8
2 90615 5
3 57649 7
4 48291 4
5 6856 8
6 34335 9
7 78639 7
8 40526 1
9 63808 7
10 51777 2
11 77516 3
12 38287 7
13 96255 4
14 18033 4
15 65670 1
16 67001 6
17 98156 1
18 94691 4
19 56835 1
20 48685 5
21 31469 5
22 39717 2
23 71545 2
24 45150 5
25 99523 5
26 95536 9
27 6375 7
28 69300 8
29 50011 1
30 1050 1
31 84846 9
32 45269 8
33 75719 5
34 56945 6
35 59910 1
36 67272 6
37 48760 8
38 94113 3
39 82070 5
40 1695 3
41 80342 1
42 81651 2
43 16498 10
44 35702 8
45 64715 3
46 52945 2
47 11272 4
48 91883 9
49 61561 6
50 27307 1
51 94421 10
52 46769 4
53 34162 8
54 87919 7
55 89381 9
56 76062 10
57 64097 6
58 36925 2
59 34749 9
60 19119 3
61 5536 10
62 9001 10
63 53727 10
64 88657 3
65 57103 7
66 2239 3
67 25111 7
68 66931 7
69 86022 3
70 70830 5
71 16878 3
72 48943 4
73 2870 1
74 88898 8
75 63466 1
76 42295 10
77 31038 5
78 9218 4
79 37882 6
80 71362 6
81 62150 2
82 1501 10
83 55595 8
84 61383 3
85 69910 4
86 71775 8
87 80486 8
88 89047 10
89 64391 10
90 27932 5
91 95584 3
92 84018 7
93 76200 7
94 50706 8
95 91310 5
96 82252 5
97 13500 5
98 97420 10
99 55972 4
100 14821 9
101 48877 10
102 21706 6
103 92148 6
104 21097 6
105 79773 2
106 91766 9
107 31254 9
108 64232 7
109 65603 10
110 78865 6
111 29357 10
112 57604 10
113 24661 1
114 44888 8
115 12258 8
116 28487 1
117 65953 5
118 76393 5
119 63317 2
120 64249 9
121 17056 1
122 19209 1
123 82355 2
124 17294 7
125 25425 1
126 6625 4
127 4099 5
128 92173 1
129 9871 3
130 77998 3
131 95111 1
132 70565 7
133 75390 8
134 26544 6
135 77983 5
136 49409 7
137 98888 7
138 57788 8
139 2447 1
140 2413 9
141 25806 2
142 58414 8
143 93840 3
144 89382 8
145 3357 2
146 82738 10
147 6798 2
148 31465 1
149 14323 9
150 84362 10
151 45052 9
152 99671 10
153 49019 1
154 53274 5
155 53624 4
156 56147 4
157 12273 5
158 46120 5
159 98636 7
160 73882 6
161 69918 9
162 11926 8
163 2066 2
164 32762 10
165 3447 10
166 37562 5
167 32084 6
168 270 10
169 97508 2
170 21932 10
171 19282 6
172 69985 5
173 14418 6
174 79724 3
175 65732 4
176 82111 3
177 72878 9
178 20421 10
179 92897 10
180 68069 10
181 52357 7
182 91867 9
183 44117 8
184 88672 10
185 14587 9
186 41708 10
187 79804 10
188 22518 8
189 69335 3
190 19056 8
191 57996 7
192 73801 4
193 68928 8
194 78835 8
195 91483 3
196 55962 7
197 81192 4
198 31878 3
199 40389 2
200 12878 8
201 54149 3
202 28568 5
203 61486 3
204 29610 4
205 31176 1
206 39555 9
